weight_adaboost,weight_stacking,mse
0.0,1.0,179.62600329288398
0.01,0.99,179.56403379593112
0.02,0.98,179.716102691489
0.03,0.97,180.08220997955775
0.04,0.96,180.6623556601372
0.05,0.95,181.45653973322723
0.06,0.94,182.46476219882805
0.07,0.9299999999999999,183.68702305693967
0.08,0.92,185.1233223075621
0.09,0.91,186.77365995069536
0.1,0.9,188.63803598633913
0.11,0.89,190.71645041449364
0.12,0.88,193.00890323515915
0.13,0.87,195.51539444833526
0.14,0.86,198.23592405402204
0.15,0.85,201.17049205221963
0.16,0.84,204.31909844292784
0.17,0.83,207.68174322614686
0.18,0.8200000000000001,211.25842640187665
0.19,0.81,215.0491479701172
0.2,0.8,219.05390793086832
0.21,0.79,223.27270628413052
0.22,0.78,227.70554302990325
0.23,0.77,232.35241816818663
0.24,0.76,237.2133316989809
0.25,0.75,242.2882836222859
0.26,0.74,247.57727393810148
0.27,0.73,253.08030264642787
0.28,0.72,258.7973697472652
0.29,0.71,264.72847524061314
0.3,0.7,270.8736191264718
0.31,0.69,277.23280140484115
0.32,0.6799999999999999,283.80602207572144
0.33,0.6699999999999999,290.59328113911243
0.34,0.6599999999999999,297.59457859501407
0.35000000000000003,0.6499999999999999,304.80991444342635
0.36,0.64,312.2392886843492
0.37,0.63,319.88270131778347
0.38,0.62,327.740152343728
0.39,0.61,335.8116417621832
0.4,0.6,344.09716957314936
0.41000000000000003,0.59,352.5967357766262
0.42,0.5800000000000001,361.31034037261367
0.43,0.5700000000000001,370.2379833611119
0.44,0.56,379.379664742121
0.45,0.55,388.73538451564093
0.46,0.54,398.3051426816714
0.47000000000000003,0.53,408.0889392402129
0.48,0.52,418.0867741912649
0.49,0.51,428.2986475348276
0.5,0.5,438.72455927090107
0.51,0.49,449.3645093994853
0.52,0.48,460.21849792058043
0.53,0.47,471.286524834186
0.54,0.45999999999999996,482.56859014030243
0.55,0.44999999999999996,494.06469383892977
0.56,0.43999999999999995,505.7748359300677
0.5700000000000001,0.42999999999999994,517.6990164137162
0.58,0.42000000000000004,529.8372352898757
0.59,0.41000000000000003,542.1894925585459
0.6,0.4,554.7557882197269
0.61,0.39,567.5361222734185
0.62,0.38,580.5304947196208
0.63,0.37,593.738905558334
0.64,0.36,607.1613547895581
0.65,0.35,620.7978424132928
0.66,0.33999999999999997,634.648368429538
0.67,0.32999999999999996,648.712932838294
0.68,0.31999999999999995,662.9915356395609
0.6900000000000001,0.30999999999999994,677.4841768333383
0.7000000000000001,0.29999999999999993,692.190856419627
0.71,0.29000000000000004,707.1115743984259
0.72,0.28,722.2463307697356
0.73,0.27,737.5951255335565
0.74,0.26,753.1579586898877
0.75,0.25,768.9348302387297
0.76,0.24,784.9257401800822
0.77,0.22999999999999998,801.1306885139459
0.78,0.21999999999999997,817.5496752403202
0.79,0.20999999999999996,834.182700359205
0.8,0.19999999999999996,851.0297638706011
0.81,0.18999999999999995,868.0908657745075
0.8200000000000001,0.17999999999999994,885.3660060709248
0.8300000000000001,0.16999999999999993,902.855184759853
0.84,0.16000000000000003,920.5584018412912
0.85,0.15000000000000002,938.4756573152406
0.86,0.14,956.6069511817008
0.87,0.13,974.952283440672
0.88,0.12,993.5116540921533
0.89,0.10999999999999999,1012.2850631361459
0.9,0.09999999999999998,1031.2725105726495
0.91,0.08999999999999997,1050.4739964016633
0.92,0.07999999999999996,1069.889520623188
0.93,0.06999999999999995,1089.519083237223
0.9400000000000001,0.05999999999999994,1109.3626842437695
0.9500000000000001,0.04999999999999993,1129.4203236428261
0.96,0.040000000000000036,1149.6920014343934
0.97,0.030000000000000027,1170.1777176184721
0.98,0.020000000000000018,1190.877472195061
0.99,0.010000000000000009,1211.791265164161
1.0,0.0,1232.919096525771
